tourney_name,surface,winner_name,winner_hand,winner_height,winner_ioc,winner_age,loser_name,loser_hand,loser_height,loser_ioc,loser_age,minutes,w_ace,w_df,l_ace,l_df
Australian Open,Hard,Denis Kudla,R,180,USA,23.41957563,Filip Krajinovic,R,185,SRB,23.89048597,54,10,1,6,9
Australian Open,Hard,Andreas Seppi,R,190,ITA,31.90691307,Teymuraz Gabashvili,R,188,RUS,30.65571526,220,12,5,17,8
Australian Open,Hard,Federico Delbonis,L,190,ARG,25.28678987,Ivo Karlovic,R,208,CRO,36.88706366,103,10,5,21,6
Australian Open,Hard,Gilles Simon,R,183,FRA,31.05817933,Vasek Pospisil,R,193,CAN,25.57152635,167,2,4,19,6
Australian Open,Hard,Jo Wilfried Tsonga,R,188,FRA,30.75427789,Marcos Baghdatis,R,183,CYP,30.58726899,146,13,3,5,3
Australian Open,Hard,Guillermo Garcia Lopez,R,188,ESP,32.62422998,Paul Henri Mathieu,R,185,FRA,34.01505818,129,10,5,11,8
Australian Open,Hard,Daniel Brands,R,196,GER,28.5065024,Victor Estrella,R,173,DOM,35.46064339,144,17,3,6,2
Australian Open,Hard,Kei Nishikori,R,178,JPN,26.05338809,Philipp Kohlschreiber,R,178,GER,32.25735797,115,5,3,8,4
Australian Open,Hard,Alexandr Dolgopolov,R,180,UKR,27.19507187,Ricardas Berankis,R,175,LTU,25.57700205,128,10,8,5,2
Australian Open,Hard,Grigor Dimitrov,R,188,BUL,24.67624914,Paolo Lorenzi,R,183,ITA,34.091718,145,12,1,7,2
Australian Open,Hard,Nicolas Almagro,R,183,ESP,30.40930869,Julien Benneteau,R,185,FRA,34.07802875,173,38,5,15,5
Australian Open,Hard,David Goffin,R,163,BEL,25.11430527,Sergiy Stakhovsky,R,193,UKR,30.03148528,156,3,5,10,6
Australian Open,Hard,Marin Cilic,R,198,CRO,27.3045859,Thiemo De Bakker,R,193,NED,27.32922656,173,19,1,12,4
Australian Open,Hard,Dusan Lajovic,R,180,SRB,25.5523614,Sam Querrey,R,198,USA,28.28199863,136,17,6,17,6
Australian Open,Hard,Tomas Berdych,R,196,CZE,30.33538672,Yuki Bhambri,R,183,IND,23.54004107,105,13,1,2,4
Australian Open,Hard,Fernando Verdasco,L,188,ESP,32.17522245,Rafael Nadal,L,185,ESP,29.62628337,281,20,10,7,6
Australian Open,Hard,Dudi Sela,R,175,ISR,30.78986995,Benjamin Becker,R,178,GER,34.59000684,121,6,1,8,6
Australian Open,Hard,Andrey Kuznetsov,R,185,RUS,24.90349076,Ryan Harrison,R,183,USA,23.69883641,117,4,3,10,5
Australian Open,Hard,Jeremy Chardy,R,188,FRA,28.93086927,Ernests Gulbis,R,190,LAT,27.38398357,283,24,21,25,18
Australian Open,Hard,Rajeev Ram,R,193,USA,31.83572895,Kevin Anderson,R,203,RSA,29.67008898,168,12,2,14,11
Australian Open,Hard,Tommy Robredo,R,180,ESP,33.71663244,Malek Jaziri,R,185,TUN,31.9945243,287,20,8,9,10
Australian Open,Hard,Tim Smyczek,R,175,USA,28.05201917,Daniel Gimeno Traver,R,185,ESP,30.4476386,114,8,2,4,3
Australian Open,Hard,Radek Stepanek,R,185,CZE,37.14168378,Tatsuma Ito,R,180,JPN,27.66872005,196,14,7,10,3
Australian Open,Hard,Stanislas Wawrinka,R,183,SUI,30.80903491,Dmitry Tursunov,R,185,RUS,33.10061602,94,14,0,2,2
Australian Open,Hard,David Ferrer,R,175,ESP,33.79603012,Peter Gojowczyk,R,185,GER,26.51060917,96,7,3,5,2
Australian Open,Hard,Lleyton Hewitt,R,180,AUS,34.89664613,James Duckworth,R,183,AUS,23.99178645,143,10,3,15,6
Australian Open,Hard,Steve Johnson,R,188,USA,26.06707734,Aljaz Bedene,R,181,GBR,26.50239562,125,17,5,14,4
Australian Open,Hard,Feliciano Lopez,L,188,ESP,34.32717317,Daniel Evans,R,175,GBR,25.65639973,88,13,1,5,6
Australian Open,Hard,Marcel Granollers,R,190,ESP,29.76865161,Matthew Ebden,R,188,AUS,28.14510609,143,5,1,7,5
Australian Open,Hard,John Isner,R,206,USA,30.72963723,Jerzy Janowicz,R,203,POL,25.18001369,105,37,0,10,4
Australian Open,Hard,Bernard Tomic,R,193,AUS,23.24161533,Denis Istomin,R,188,UZB,29.36344969,179,16,0,23,1
Australian Open,Hard,Simone Bolelli,R,183,ITA,30.27789185,Brian Baker,R,190,USA,30.71868583,219,26,0,15,7
Australian Open,Hard,Gilles Muller,L,193,LUX,32.6954141,Fabio Fognini,R,178,ITA,28.65434634,239,34,8,20,11
Australian Open,Hard,Santiago Giraldo,R,188,COL,28.14236824,Donald Young,L,183,USA,26.48870637,136,7,1,6,4
Australian Open,Hard,Andreas Seppi,R,190,ITA,31.90691307,Denis Kudla,R,180,USA,23.41957563,126,13,1,6,3
Australian Open,Hard,Gilles Simon,R,183,FRA,31.05817933,Evgeny Donskoy,R,185,RUS,25.69472964,238,8,6,7,3
Australian Open,Hard,Guillermo Garcia Lopez,R,188,ESP,32.62422998,Daniel Brands,R,196,GER,28.5065024,149,5,4,17,4
Australian Open,Hard,Roger Federer,R,185,SUI,34.44490075,Alexandr Dolgopolov,R,180,UKR,27.19507187,93,25,2,3,7
Australian Open,Hard,David Goffin,R,163,BEL,25.11430527,Damir Dzumhur,R,172,BIH,23.66324435,157,7,3,3,2
Australian Open,Hard,Marin Cilic,R,198,CRO,27.3045859,Albert Ramos,L,188,ESP,28.00273785,139,17,0,7,5
Australian Open,Hard,Dudi Sela,R,175,ISR,30.78986995,Fernando Verdasco,L,188,ESP,32.17522245,169,5,2,9,7
Australian Open,Hard,Andrey Kuznetsov,R,185,RUS,24.90349076,Jeremy Chardy,R,188,FRA,28.93086927,128,9,3,11,8
Australian Open,Hard,Gael Monfils,R,193,FRA,29.3798768,Nicolas Mahut,R,190,FRA,33.99041752,100,18,3,2,3
Australian Open,Hard,Stephane Robert,R,185,FRA,35.67145791,Rajeev Ram,R,193,USA,31.83572895,216,23,6,11,7
Australian Open,Hard,Milos Raonic,R,196,CAN,25.05954825,Tommy Robredo,R,180,ESP,33.71663244,175,24,6,0,3
Australian Open,Hard,Viktor Troicki,R,193,SRB,29.93566051,Tim Smyczek,R,175,USA,28.05201917,150,10,3,16,1
Australian Open,Hard,Lukas Rosol,R,196,CZE,30.48596851,Jack Sock,R,185,USA,23.3155373,136,20,5,21,6
Australian Open,Hard,Stanislas Wawrinka,R,183,SUI,30.80903491,Radek Stepanek,R,185,CZE,37.14168378,121,15,4,4,4
Australian Open,Hard,David Ferrer,R,175,ESP,33.79603012,Lleyton Hewitt,R,180,AUS,34.89664613,152,4,1,2,5
Australian Open,Hard,Steve Johnson,R,188,USA,26.06707734,Thomaz Bellucci,L,188,BRA,28.05201917,88,10,2,3,4
Australian Open,Hard,John Isner,R,206,USA,30.72963723,Marcel Granollers,R,190,ESP,29.76865161,140,20,4,4,3
Australian Open,Hard,Bernard Tomic,R,193,AUS,23.24161533,Simone Bolelli,R,183,ITA,30.27789185,181,24,4,8,4
Australian Open,Hard,John Millman,R,183,AUS,26.59548255,Gilles Muller,L,193,LUX,32.6954141,218,13,5,22,5
Australian Open,Hard,Novak Djokovic,R,188,SRB,28.65982204,Andreas Seppi,R,190,ITA,31.90691307,141,9,2,5,0
Australian Open,Hard,Gilles Simon,R,183,FRA,31.05817933,Federico Delbonis,L,190,ARG,25.28678987,102,5,1,6,1
Australian Open,Hard,Kei Nishikori,R,178,JPN,26.05338809,Guillermo Garcia Lopez,R,188,ESP,32.62422998,168,5,1,11,4
Australian Open,Hard,Roger Federer,R,185,SUI,34.44490075,Grigor Dimitrov,R,188,BUL,24.67624914,160,13,5,8,3
Australian Open,Hard,Andrey Kuznetsov,R,185,RUS,24.90349076,Dudi Sela,R,175,ISR,30.78986995,155,10,6,7,5
Australian Open,Hard,Gael Monfils,R,193,FRA,29.3798768,Stephane Robert,R,185,FRA,35.67145791,104,10,1,3,5
Australian Open,Hard,Milos Raonic,R,196,CAN,25.05954825,Viktor Troicki,R,193,SRB,29.93566051,106,14,2,5,5
Australian Open,Hard,Stanislas Wawrinka,R,183,SUI,30.80903491,Lukas Rosol,R,196,CZE,30.48596851,115,18,3,2,6
Australian Open,Hard,David Ferrer,R,175,ESP,33.79603012,Steve Johnson,R,188,USA,26.06707734,105,3,2,5,4
